prompt,tier
What is the capital of France?,low
List the colors of the rainbow.,low
What is 5 plus 3?,low
Extract the main character's name from the story.,low
Summarize the paragraph in one sentence.,low
How many days are in a week?,low
What is the largest mammal on Earth?,low
Convert this temperature: 20 degrees Celsius to Fahrenheit.,low
What are the first three planets in our solar system?,low
Define the word 'eclectic'.,low
What is the boiling point of water?,low
Who wrote 'Romeo and Juliet'?,low
List three fruits that are red.,low
What is the square root of 16?,low
What year did the Titanic sink?,low
Find the synonym for 'happy'.,low
What is the chemical symbol for gold?,low
Who was the first President of the United States?,low
What is the main theme of the poem?,low
Translate 'hello' into Spanish.,low
How many continents are there?,low
What is the primary ingredient in guacamole?,low
Who painted the Mona Lisa?,low
What is the smallest country in the world?,low
What are the three states of matter?,low
List the planets in order from the sun.,low
What is 10 times 7?,low
Identify the author of '1984'.,low
What is the main ingredient in bread?,low
How many legs do spiders have?,low
What is the largest ocean on Earth?,low
What is the capital of Japan?,low
Who invented the telephone?,low
What is the fastest land animal?,low
What are the phases of the moon?,low
Name a primary color.,low
What is the sum of 2 and 2?,low
Who discovered penicillin?,low
What is the distance between the Earth and the Moon?,low
What is the primary function of the heart?,low
What language is primarily spoken in Brazil?,low
List the first five elements of the periodic table.,low
What is the tallest mountain in the world?,low
What is the main ingredient in sushi?,low
What is the currency of the United States?,low
How many teeth does an adult human typically have?,low
What is the longest river in the world?,low
What is the main export of Saudi Arabia?,low
Who is known as the Father of Modern Physics?,low
What is the main language spoken in China?,low
What are the two main types of cells?,low
What is the primary function of the lungs?,low
What is the primary color of the sky?,low
What is the formula for water?,low
What is the average number of hours in a day?,low
What is the main dietary source of protein?,low
What are the four seasons of the year?,low
What is the capital of Germany?,low
How many players are on a soccer team?,low
What is the largest desert in the world?,low
What is the main source of energy for the Earth?,low
Who wrote the Declaration of Independence?,low
What is the primary function of roots in plants?,low
What is the most spoken language in the world?,low
What year did World War II end?,low
How many colors are there in a traffic light?,low
What is the primary ingredient in a Caesar salad?,low
What is the capital of Italy?,low
How many hours are in a week?,low
What is the primary purpose of a compass?,low
What is the most abundant gas in the Earth's atmosphere?,low
Summarize the main themes of the book 'To Kill a Mockingbird'.,medium
"Classify the following animals into their respective categories: lion, eagle, salmon, and frog.",medium
Analyze the impact of social media on modern communication styles.,medium
Summarize the findings of the latest climate change report.,medium
"Classify the following colors into warm and cool tones: red, blue, yellow, green.",medium
Analyze the reasons for the rise in remote work trends post-2020.,medium
Summarize the key points from a recent TED talk on artificial intelligence.,medium
"Classify the following foods into healthy and unhealthy categories: avocado, soda, broccoli, candy.",medium
Analyze the differences between traditional and digital marketing strategies.,medium
Summarize the significance of the Declaration of Independence in American history.,medium
"Classify the following technology devices into personal and professional use: smartphone, laptop, tablet, printer.",medium
Analyze the benefits and drawbacks of electric vehicles.,medium
Summarize the plot of 'The Great Gatsby' in a few sentences.,medium
"Classify the following types of music into genres: classical, rock, jazz, hip-hop.",medium
Analyze the effects of urbanization on local wildlife.,medium
Summarize the main arguments in favor of renewable energy sources.,medium
"Classify the following historical figures as leaders or innovators: Martin Luther King Jr., Steve Jobs, Cleopatra, Albert Einstein.",medium
Analyze the role of women in the workforce during World War II.,medium
Summarize the characteristics of Gothic architecture.,medium
"Classify the following literary works as fiction or non-fiction: '1984', 'The Diary of a Young Girl', 'Moby Dick', 'Sapiens'.",medium
Analyze the relationship between diet and mental health.,medium
Summarize the key developments in the field of space exploration over the last decade.,medium
"Classify the following sports as individual or team-based: tennis, soccer, swimming, basketball.",medium
Analyze the influence of Shakespeare on modern literature.,medium
Summarize the advantages of learning a second language.,medium
"Classify the following types of energy sources as renewable or non-renewable: solar, coal, wind, natural gas.",medium
Analyze the trends in consumer behavior during economic recessions.,medium
Summarize the key features of the scientific method.,medium
"Classify the following art movements: Impressionism, Cubism, Surrealism, Baroque.",medium
Analyze the implications of genetic engineering in agriculture.,medium
Summarize the principles of effective time management.,medium
"Classify the following types of literature as poetry, prose, or drama: 'The Road Not Taken', 'Pride and Prejudice', 'Hamlet', '1984'.",medium
Analyze the reasons behind the popularity of streaming services.,medium
Summarize the contributions of ancient civilizations to modern society.,medium
"Classify the following musical instruments as string, percussion, or wind: violin, trumpet, drum, guitar.",medium
Analyze the psychological effects of color in marketing.,medium
Summarize the major events leading to the fall of the Berlin Wall.,medium
"Classify the following types of poetry: haiku, sonnet, free verse, limerick.",medium
Analyze the effects of globalization on cultural identity.,medium
Summarize the role of the United Nations in international relations.,medium
"Classify the following economic systems: capitalism, socialism, communism, mixed economy.",medium
Analyze the impact of technology on education.,medium
Summarize the main ideas of existential philosophy.,medium
"Classify the following body movements as aerobic or anaerobic: running, weightlifting, cycling, yoga.",medium
Analyze the challenges of urban planning in densely populated areas.,medium
Summarize the key points of the Kyoto Protocol.,medium
"Classify the following types of ecosystems: desert, rainforest, tundra, grassland.",medium
Analyze the role of artificial intelligence in modern healthcare.,medium
Summarize the factors that contribute to effective leadership.,medium
"Classify the following historical events as revolutions or reforms: American Revolution, Civil Rights Movement, Industrial Revolution, Women's Suffrage Movement.",medium
Analyze the benefits of mindfulness and meditation practices.,medium
Summarize the characteristics of a successful startup.,medium
"Classify the following types of social media platforms: microblogging, photo sharing, video sharing, networking.",medium
Analyze the impact of climate change on global agriculture.,medium
Summarize the themes present in the works of Edgar Allan Poe.,medium
"Classify the following types of government: democracy, monarchy, dictatorship, oligarchy.",medium
Analyze the importance of cybersecurity in today's digital world.,medium
Summarize the evolution of the internet over the past 20 years.,medium
"Classify the following types of consumer goods: durable, non-durable, convenience, shopping.",medium
Analyze the role of public transportation in urban development.,medium
Summarize the main concepts of quantum physics.,medium
"Classify the following forms of renewable energy: hydropower, geothermal, biomass, nuclear.",medium
"Design a marketing campaign for a fictional eco-friendly product, detailing the target audience, message strategy, and platforms to use.",high
"Create a detailed business plan for a sustainable coffee shop, including financial projections, marketing strategies, and community engagement initiatives.",high
"Write a short story that combines elements of science fiction and mystery, set in a near-future city where technology has changed human interaction.",high
Analyze the impact of remote work on urban development and propose a new city design that accommodates these changes.,high
"Develop a lesson plan for teaching high school students about climate change and its socio-economic impacts, incorporating interactive activities.",high
"Propose a new feature for a popular social media platform aimed at enhancing user privacy, detailing its design and potential challenges.",high
"Draft a policy paper on the ethical implications of AI in healthcare, considering various stakeholders' perspectives.",high
Create a fictional dialogue between two historical figures discussing the relevance of their ideologies in today's society.,high
Outline a research project that investigates the relationship between social media usage and mental health among teenagers.,high
"Design a new board game that teaches players about world history, including mechanics, themes, and educational outcomes.",high
Devise a strategy for a non-profit organization to increase volunteer engagement through innovative outreach methods.,high
"Write a persuasive essay on the importance of art in education, using examples from different cultures and time periods.",high
"Construct a futuristic transportation system for a major city, taking into account environmental sustainability and urban planning.",high
"Plan a community event that promotes cultural diversity, detailing activities, logistics, and potential partnerships.",high
"Create a fictional character profile for a detective in a noir-style novel, including backstory, motivations, and personal conflicts.",high
"Propose a new approach to teaching financial literacy to young adults, incorporating technology and real-world applications.",high
"Develop a series of podcast episodes that explore the evolution of a specific musical genre, highlighting key artists and cultural influences.",high
"Write a critical review of a contemporary novel, examining its themes, character development, and societal impact.",high
"Design a user-friendly app for mental health support, outlining its features, target audience, and user experience considerations.",high
"Create a fictional world where climate change has significantly altered ecosystems, detailing its inhabitants and their adaptations.",high
"Draft a fundraising proposal for a local charity, focusing on a specific project and including budget estimates and potential donors.",high
Analyze the role of literature in social movements throughout history and discuss its relevance in modern activism.,high
"Propose a curriculum for teaching coding to middle school students, emphasizing creativity and problem-solving skills.",high
Write a screenplay synopsis for a thriller that explores themes of trust and betrayal in a corporate setting.,high
"Create a marketing strategy for a new vegan restaurant, considering the competitive landscape and branding opportunities.",high
"Draft an article discussing the implications of quantum computing on cybersecurity, using real-world examples.",high
"Design a wellness program for a corporate workplace, detailing activities, goals, and metrics for success.",high
"Propose an innovative solution to reduce plastic waste in urban areas, considering logistical and social challenges.",high
Create an interactive timeline showcasing the major technological advancements of the last century and their societal impacts.,high
"Develop a series of workshops aimed at teaching emotional intelligence in the workplace, including key topics and activities.",high
"Write a research proposal on the effects of climate change on global migration patterns, outlining methodology and expected outcomes.",high
"Design a public art installation that addresses social justice issues, including its message, location, and community involvement.",high
Create a fictional scenario in which a character must navigate ethical dilemmas in a high-stakes corporate environment.,high
"Draft a blog post discussing the future of renewable energy, including emerging technologies and policy recommendations.",high
"Propose a collaborative art project that involves multiple community organizations, detailing its vision and potential impact.",high
"Analyze the effectiveness of different leadership styles in crisis management, using case studies from various industries.",high
"Write a letter to the editor advocating for a specific change in local government policy, backed by research and community perspectives.",high
"Create a detailed character arc for a protagonist in a fantasy novel, including their motivations, challenges, and growth.",high
"Develop a plan for a virtual conference focused on mental health awareness, including key speakers, topics, and engagement strategies.",high
"Draft a research paper on the intersection of technology and education, exploring both opportunities and challenges.",high
"Design a mobile game that promotes environmental awareness, outlining gameplay mechanics and educational content.",high
"Create a strategic plan for a startup focused on sustainable fashion, including market analysis and growth strategies.",high
Propose a new initiative for a city council aimed at increasing community involvement in local governance.,high
"Write a short play that addresses the theme of identity in a multicultural society, incorporating diverse perspectives.",high
