model,tier,prompt_id,latency_ms,prompt_tokens,completion_tokens,cost_usd,status
GPT-4o,high,1,1935.51,38,22,0.000315,SUCCESS
GPT-4o,high,2,764.21,34,9,0.00017500000000000003,SUCCESS
GPT-4o,high,3,729.66,24,7,0.00013000000000000002,SUCCESS
GPT-4o,high,4,2994.3,37,162,0.0017125,SUCCESS
GPT-4o,high,5,1217.9,44,57,0.00068,SUCCESS
GPT-4o,high,6,1541.52,48,94,0.0010600000000000002,SUCCESS
GPT-4o,high,7,1303.58,37,58,0.0006725,SUCCESS
GPT-4o,high,8,7899.61,48,720,0.007320000000000001,SUCCESS
GPT-4o,high,9,8978.68,59,485,0.0049975,SUCCESS
GPT-4o,high,10,7541.13,39,507,0.005167500000000001,SUCCESS
GPT-4o Mini,medium,1,1103.33,38,21,1.8299999999999998e-05,SUCCESS
GPT-4o Mini,medium,2,684.7,34,11,1.17e-05,SUCCESS
GPT-4o Mini,medium,3,809.75,24,7,7.8e-06,SUCCESS
GPT-4o Mini,medium,4,3560.36,37,208,0.00013035,SUCCESS
GPT-4o Mini,medium,5,1893.26,44,99,6.6e-05,SUCCESS
GPT-4o Mini,medium,6,1661.89,48,108,7.2e-05,SUCCESS
GPT-4o Mini,medium,7,1151.08,37,64,4.395e-05,SUCCESS
GPT-4o Mini,medium,8,10401.45,48,847,0.0005154,SUCCESS
GPT-4o Mini,medium,9,5157.96,59,527,0.00032505,SUCCESS
GPT-4o Mini,medium,10,4801.67,39,482,0.00029505,SUCCESS
Claude Sonnet 4.6,high,1,6153.64,39,355,0.005442,SUCCESS
Claude Sonnet 4.6,high,2,3393.52,34,108,0.0017220000000000002,SUCCESS
Claude Sonnet 4.6,high,3,2688.47,21,64,0.001023,SUCCESS
Claude Sonnet 4.6,high,4,5391.52,37,196,0.003051,SUCCESS
Claude Sonnet 4.6,high,5,9902.48,44,349,0.005367,SUCCESS
Claude Sonnet 4.6,high,6,7779.49,49,350,0.005397000000000001,SUCCESS
Claude Sonnet 4.6,high,7,2774.9,37,80,0.001311,SUCCESS
Claude Sonnet 4.6,high,8,33834.05,50,2048,0.03087,SUCCESS
Claude Sonnet 4.6,high,9,28280.22,61,1015,0.015408000000000002,SUCCESS
Claude Sonnet 4.6,high,10,20455.55,38,653,0.009909,SUCCESS
Claude Haiku 4.5,low,1,1438.94,38,28,0.00017800000000000002,SUCCESS
Claude Haiku 4.5,low,2,774.0,33,17,0.000118,SUCCESS
Claude Haiku 4.5,low,3,1043.16,20,45,0.000245,SUCCESS
Claude Haiku 4.5,low,4,2644.28,36,164,0.0008560000000000001,SUCCESS
Claude Haiku 4.5,low,5,3032.91,43,172,0.000903,SUCCESS
Claude Haiku 4.5,low,6,2483.96,48,154,0.000818,SUCCESS
Claude Haiku 4.5,low,7,1203.46,36,77,0.00042100000000000004,SUCCESS
Claude Haiku 4.5,low,8,11026.06,49,1476,0.007429,SUCCESS
Claude Haiku 4.5,low,9,7344.29,60,499,0.0025550000000000004,SUCCESS
Claude Haiku 4.5,low,10,5505.95,37,331,0.0016920000000000001,SUCCESS
Llama 3.2 3B (Local),low,1,13703.24,56,24,0.0,SUCCESS
Llama 3.2 3B (Local),low,2,626.0,52,11,0.0,SUCCESS
Llama 3.2 3B (Local),low,3,627.47,42,8,0.0,SUCCESS
Llama 3.2 3B (Local),low,4,3341.65,55,234,0.0,SUCCESS
Llama 3.2 3B (Local),low,5,1859.29,62,97,0.0,SUCCESS
Llama 3.2 3B (Local),low,6,1423.92,66,65,0.0,SUCCESS
Llama 3.2 3B (Local),low,7,1307.67,56,52,0.0,SUCCESS
Llama 3.2 3B (Local),low,8,5516.39,67,413,0.0,SUCCESS
Llama 3.2 3B (Local),low,9,1149.87,77,22,0.0,SUCCESS
Llama 3.2 3B (Local),low,10,6353.18,57,472,0.0,SUCCESS
